likes,pred_likes
9402,12798
29652,69066
162,44639
61821,53540
4629,39264
3583,12318
18768,18722
26993,38861
215,515
2718,3942
926887,173825
5269,8316
64410,66710
1795,1872
11271,17898
3032,198806
32999,37646
33415,31955
1747,4657
361,454
544,10401
6006,5367
433,9923
88299,143308
23311,25217
5183,2703
12369,18064
1358,2528
13355,14485
11788,16174
381,1741
5794,26584
2981,3849
76717,77647
36355,44906
3794,3841
22854,22577
34952,39264
93297,96777
31150,30322
63341,58530
1520,150018
12145,15251
5146,13957
22898,23000
5896,8366
148859,146823
24686,14750
19838,48035
4226,3694
11176,11436
16698,16559
37209,37133
3912,2889
19416,19439
100566,101356
3479,3787
32167,16201
4797,5251
136072,156064
43038,40665
156920,160008
6074,5766
5369,5523
48570,48856
387,39264
95909,78464
4493,4984
1060,2337
40478,78498
68,519
393,5544
1253,1311
8462,8154
2060,2199
34417,33059
21739,98235
10765,9575
3759,14501
119,145
208,5705
89,88
5791,5937
383,19717
26383,25895
163475,150741
283,323
686,737
4483,3351
20134,21306
29736,29140
1049,113883
1955,28235
22491,26705
4,4173
1899,1834
6724,18820
94303,88578
13385,13639
6411,5523
21757,18012
2842,6103
7443,8291
145774,148348
150,162
13623,13136
1863,12109
11363,11418
15,55638
219847,209679
11889,11384
2007,2191
4630,7151
5,3196
12712,12931
10394,13468
15160,13652
18985,16860
5694,13843
16396,14927
2017,2186
5741,7284
4470,2488
2150,1932
10988,444195
1671,1760
3477,2434
180201,173611
16735,19278
8719,8143
19,118
39121,31797
281,872
151426,150674
1172,21743
28632,22219
6029,9120
22359,19563
2390,8584
147,120
1999,2098
281,246
14179,12432
17486,16347
97,1075
58,838
2504,3715
19042,20224
5873,14273
2256,3119
1353,2235
6464,12899
514,556
8634,8263
438,813
5171,16295
10203,8907
2867,3695
132,893
9600,9193
7394,8659
4666,4784
6725,6263
10288,14291
5319,9037
4503,4200
271,884
911883,834177
3676,6279
40,89
627,1559
232,39264
157931,348534
415035,445279
11277,16484
25951,31056
14604,20415
1308,40885
2544,8555
125458,135299
119371,96755
11324,17146
1453,44639
127150,159985
18320,12516
3925,15469
6590,5174
84882,73858
180591,46036
12763,15786
8542,10540
7944,10792
5045,12318
23549,27281
89204,95756
74326,67584
471760,549530
13119,13179
201286,123830
41915,50122
430,515
9928,39264
40745,42104
12220,12798
39732,41652
49373,69066
283197,273092
115580,113442
22347,28788
8124,8316
5387,39264
19264,17340
439189,441447
23255,25061
35351,38861
7318,6923
312,768
20345,18722
3598,198806
976120,173825
14662,16174
759,1741
30692,49692
1095,10401
540,2135
2837,4657
1591,2528
12338,17898
1959,1872
6546,5367
66170,66710
109122,143308
9064,13185
25387,25217
13899,18064
34831,31955
39452,37646
38894,44906
29936,198806
5561,2703
3158,3942
14372,14485
3239,3849
79021,77647
4314,3841
23559,22577
157975,156064
99803,96777
5863,13957
32742,30322
395,454
158996,146823
13096,15251
64614,58530
23599,23000
6274,8366
27807,48035
25054,14750
18336,16559
11386,11436
1537,150018
38000,37133
34666,16201
20024,19439
4130,2889
1094,2337
102520,101356
4410,3694
400,5544
587,4662
7792,5766
162209,160008
50156,48856
4974,5251
18,10281
5554,5523
4145,14501
99173,90459
469,39264
3793,3787
43697,40665
42050,78498
4,605
3,6843
6,4153
94,519
4625,4984
1306,1311
23234,98235
8729,8154
35048,33059
2080,2199
89,88
6135,5937
11130,9575
433,1681
21299,21306
122,145
393,19717
212,5705
287,323
27314,25895
33,5247
166290,150741
4,4173
387,22885
690,737
172690,177010
6934,18820
30139,29140
2922,6103
2016,2271
4573,3351
1304,113883
2032,12109
22849,26705
2048,1834
2086,28235
6763,5523
22250,27976
16842,13639
14588,13136
7612,8291
148741,148348
95587,88578
170,162
236846,209679
11864,11418
2018,2191
16,55638
4691,7151
12095,11384
10633,13468
5,3196
366,872
2067,2186
15763,13652
5933,7284
1731,1760
16551,14927
13029,12931
19504,16860
1440,2488
2229,1932
11598,444195
17136,19278
184500,173611
8826,8143
5770,13843
42376,31797
19,118
153395,150674
28951,22219
2093,2098
149,120
22885,19563
4553,11714
2413,8584
285,246
17626,16347
2462,3119
3643,2434
100,1075
58,838
567,556
262448,348534
3496,19102
295650,336129
12798,18103
76342,111577
2167,11714
21400,27905
6424,15093
1425,53458
4262,6749
544,3457
550027,445279
15716,14850
12404,26259
4023,8555
18581,20415
30305,31056
86481,93083
15161,17146
1098,4353
10103,15469
138077,135299
823,1654
10211,10540
2439,44639
33965,34629
130537,96755
14738,15786
148524,159985
191296,46036
191,2687
26650,27281
151,4240
19277,12516
7993,5174
91307,73858
47008,50122
35159,35038
5917,12318
1496,6015
108,163
8823,10792
604,566
99765,95756
15755,5503
83723,67584
193,367
505290,549530
594,515
14290,13179
210255,123830
1349,20188
11098,39264
13117,12798
43550,42104
1046,1741
12919,15783
395,768
57346,69066
8604,8942
24167,28788
9193,8316
41261,41652
300465,273092
118922,113442
5594,39264
15327,16174
25073,25061
458893,441447
1449,10401
19850,17340
40873,38861
3939,198806
34409,49692
7604,6923
21148,18722
1003201,173825
9980,13185
632,2135
31774,198806
14228,21810
2001,1872
122211,143308
12859,17898
40618,44906
26802,25217
1714,2528
14937,18064
35710,31955
43213,37646
3339,3942
14799,14485
167996,156064
3347,3849
13,564
5757,2703
1239,12301
1508,113883
26752,63511
34296,48035
1124,2571
34097,30322
4483,3841
403,454
13671,15251
24187,23000
6762,8366
9806,11620
167396,146823
36188,16201
665,4662
2,4343
6152,13957
65290,58530
19158,16559
25355,14750
20325,19439
4389,2889
11574,11436
4500,3694
104137,101356
19,10281
38632,37133
51470,48856
10,4153
5099,5251
4384,14501
166527,160008
4003,3787
102055,90459
5699,5523
44018,40665
104,519
43223,78498
5,605
3,6843
23916,98235
473,39264
4731,4984
227,152409
1344,1311
2104,2199
35634,33059
21982,21306
6349,5937
8985,8154
462,1681
89,88
177927,177010
11337,9575
125,145
399,19717
213,5705
427,22885
27945,25895
290,323
34,5247
4,4173
168268,150741
700,737
2083,2271
30664,29140
2993,6103
2215,1834
4640,3351
23095,26705
151250,148348
2120,12109
178,162
7014,5523
18686,13639
22594,27976
15480,13136
7725,8291
7081,18820
96321,88578
12465,11418
247884,209679
2167,28235
2025,2191
9020,8143
17,55638
10776,13468
4739,7151
187303,173611
12162,444195
43997,31797
5,3196
2106,2186
16399,13652
19822,16860
16729,14927
12260,63532
15400,19102
5704,7427
84031,160785
11643,27656
6971,9337
20145,22858
26750,32565
7031,8771
8709,9120
21174,27165
843,9196
332269,348534
3601,19671
17272,20540
32479,35870
5310,22689
14025,16384
16364,19823
1175,3549
2840,3457
114,182
49833,40885
22942,25234
20617,30329
328517,336129
2408,3971
5912,7993
107403,111577
88437,111186
3587,4409
20658,24911
2190,2730
12282,15093
0,0
24283,27905
748,1126
413,4728
10504,10878
78088,82168
513,2687
3598,4305
4167,4702
162,163
859,12109
336,2309
3058,3988
607099,445279
10237,12436
6801,9500
256,367
1755,10750
1190,4353
1112,1654
299,1477
4474,8555
6111,7446
192,4240
19737,20415
31492,31056
16218,17146
2596,44639
662,566
267,6986
962,1249
90347,93083
14873,15469
10630,10540
36032,34629
144916,135299
3449,3622
15484,15786
161691,159985
137904,96755
196513,46036
5923,21316
8718,5174
