views,pred_views
113926,316053
82415,106484
1843479,1533177
76475,90311
100908,1350849
30569,35851
360001,719309
615712,2362140
23429,31245
26922,28798
69199,417038
1351046,1310866
647820,654426
276231,648399
6582,44959
52292,57499
253763,240144
12831,18136
38818,1073853
322642,328634
1383687,1296945
77486,161549
157973,159098
65197,56897
575434,818973
24416,116455
378984,640332
101742,120815
54697,107864
2400741,2181205
962308,1142352
22383,149016
914680,673382
5392036,5472582
28169,464089
162006,302576
650799,697236
298744,354244
12858,135894
34968,279121
137518,157002
66349,69657
356406,353461
3228511,3540073
113820,211547
244538,242751
80687,70469
492640,542749
167484,313583
863397,741466
467678,462858
340068,328454
16017,34080
4737269,4595986
39122,48447
214925,687371
240124,168318
310812,5473630
34262,46242
143522,125311
189155,320827
224207,501186
2656622,2704881
39490,63904
952966,1163976
1194113,1136287
327639,283099
1014512,1200215
32977,24527
396661,337716
130950,171316
96267,63882
86671,76729
296542,275479
2630503,2630201
33738,35642
426359,503970
50473,193069
759217,861634
68613,227173
10899,11022
181539,155166
108991,205423
186961,711550
83497,109681
3591,18673
47069,93950
442407,605621
368795,348845
277792,278057
142010,336165
256761,215336
313133,348716
66800,156952
48179,58424
336398,307358
42422,96103
48864,118268
34460,104822
64932,65128
106641,1350849
43426,50327
900779,759573
6993,56939
24578152,20848683
1431,1254473
7095077,5570946
58689,2929767
122634,126857
256760,1915605
8993,342342
6801,57308
1204,452775
227162,241595
1856410,1673660
704,747027
393265,488835
352770,389269
3914,1283778
9747,3321454
10541,19115
17679753,16764041
2374251,2259746
5159763,4610026
194930,194970
5318,2929767
218186,239224
1267977,1158081
629166,1121836
8041928,7309697
3913682,3480528
11156,473895
312769,481950
2954882,1942557
2720774,552928
403887,361662
277614,264200
6247,241226
6451949,2421749
7797259,8708364
1291361,983517
823285,2084866
1593121,2193249
366048,401366
133092,264050
8072982,3870056
3252728,3889299
178325,332553
81759,201164
4340962,10808459
646615,1632636
8291139,9312656
751525,4531670
803802,843852
803168,1068029
